filename	ontology_terminal_leaf	sample_name	description	Main.food.description	simple_complex	sample_type	sample_type_aquatic_land	sample_type_group1	sample_type_group2	sample_type_group3	sample_type_group4	sample_type_group5	sample_type_group6	sample_type_groupB1	sample_type_groupB2	sample_type_groupB3	sample_type_common	type_of_cuisine_ethnicity	common_meal_type	vegan	organic	gluten_free	gmo	homemade_homegrown	processed_method	processed_method_jps	fermented	contains_live_active_cultures	contains_live_active_cultures_specific	raw_processed	raw_pasteurized	botanical_genus	botanical_genus_species	botanical_anatomy	botanical_family	plant_color	collection_timestamp	best_by	elevation	geo_loc_name	location_sampled	latitude	longitude	origin_country	origin_state	grocerystore_restaurant_etc	Vendor_store	source_categorical	distributor_brand	ingredients_1	ingredients_2	ingredients_3	ingredients_4	ingredients_5	ingredients_6	ingredients_7	empo_1	empo_2	empo_3	additives	additives_specific	Food_coloring	Food_coloring_specific	sugar_added	sugar_refined	superfood	animal_product_substitute	animal_source	animal_source_specific	caffeinated	cheese_sample_type	cheese_part	cheese_texture	contains_chocolate	flesh_only_or_with_peel	solid_liquid	texture	tea_quality	tea_type	brand_roast_unique	project	washed_not	washed_specific	known_contamination	touch_animal_product	upc	FoodCode	ndb_number	ndb_description	packaging	packaging_specific	participant_notes	purchase_notes
15NAVY01_V1_ALL_GB2_01_39810.mzXML	complex	15NAVY01_V1_ALL	15NAVY01_V1_ALL	not entered	complex	food	complex	complex	complex	complex	complex	complex	complex	complex	complex	complex	meal	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host-associated	not applicable	not applicable	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_V1_breakfast_GA7_01_39806.mzXML	complex	15NAVY01_V1_breakfast	15NAVY01_V1_breakfast	not entered	complex	food	complex	complex	complex	complex	complex	complex	complex	complex	complex	complex	meal	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host-associated	not applicable	not applicable	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_brk_1_GA4_01_39548.mzXML	peanut	15NAVY01_v1_brk_1	**Peanut Butter Smooth, 8/14	not entered	complex	food	land	plant	fruit	legume	legume	peanut	complex	not applicable	not applicable	not applicable	peanut butter	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	no	not entered	not applicable	not entered	not entered	not applicable	not applicable	not applicable	not applicable	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host associated	plant	plant-corpus	not collected	not applicable	not provided	not provided	not collected	not collected	not collected	no	not applicable	not applicable	no	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_brk_2_GB4_01_39546.mzXML	grain/grass	15NAVY01_v1_brk_2	Honey Nut Cheerios	not entered	complex	food	land	plant	fruit	grain/grass	complex	complex	complex	not applicable	not applicable	not applicable	cereal	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	no	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host-associated	plant	plant-corpus	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_brk_3_GC4_01_39547.mzXML	grain/grass	15NAVY01_v1_brk_3	Bread White, Aspen	not entered	complex	food	land	plant	fruit	grain/grass	complex	complex	complex	not applicable	not applicable	not applicable	bread	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	yes	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host associated	plant	plant-corpus	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_lun_1_GA5_01_39630.mzXML	complex	15NAVY01_v1_lun_1	Turkey, ROAST,FRESH,TOM,Mayonnaise Light Kraft 8/14,Mustard Yellow,Apple Juice 7/15	not entered	complex	food	land	complex	complex	complex	complex	complex	complex	not applicable	not applicable	not applicable	not entered	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	no	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host associated	not applicable	not applicable	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_lun_2_GB5_01_39627.mzXML	fruit	15NAVY01_v1_lun_2	Grapes Red or Green,Apple Juice 7/15	not entered	complex	food	land	plant	fruit	complex	complex	complex	complex	not applicable	not applicable	not applicable	grape	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	no	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host associated	plant	plant-corpus	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_lun_3_GC5_01_39628.mzXML	fruit	15NAVY01_v1_lun_3	Bread White, Aspen,Apple Juice 7/15	not entered	complex	food	land	plant	fruit	complex	complex	complex	complex	not applicable	not applicable	not applicable	bread	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	yes	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host associated	plant	plant-corpus	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_v1_lun_4_GD5_01_39629.mzXML	complex	15NAVY01_v1_lun_4	Pretzels Rold Gold-09/07,Apple Juice 7/15	not entered	complex	food	land	complex	complex	complex	complex	complex	complex	not applicable	not applicable	not applicable	pretzel	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	no	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host-associated	plant	plant-corpus	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
15NAVY01_V1_lunch_GB1_01_39808.mzXML	complex	15NAVY01_V1_lunch	15NAVY01_V1_lunch	not entered	complex	food	complex	complex	complex	complex	complex	complex	complex	complex	complex	complex	meal	not applicable	not entered	not entered	not entered	not entered	not provided	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not entered	not entered	not entered	not entered	not entered	not applicable	not entered	not applicable	193	USA:CO:Boulder	Boulder, CO	40.015	-105.2705	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	host-associated	not applicable	not applicable	not entered	not applicable	not provided	not provided	not collected	not collected	not collected	no	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not entered	not collected	not applicable	not applicable	not applicable	ONR_foods	not entered	not applicable	no	not entered	not collected	not entered	not collected	not collected	not entered	not entered	none	none
