filename	ontology_term
G75838_1x_10ul_RD5_01_20305.mzXML	sunchoke
G75838_1x_10ul_RD5_01_20305.mzXML	vegetable
G75838_1x_10ul_RD5_01_20305.mzXML	vegetable/herb
G75838_1x_10ul_RD5_01_20305.mzXML	plant
G79708_5x_RC11_01_19499.mzXML	jicama
G79708_5x_RC11_01_19499.mzXML	vegetable
G79708_5x_RC11_01_19499.mzXML	vegetable/herb
G79708_5x_RC11_01_19499.mzXML	plant
G87458_1x_RF2_01_26308.mzXML	jicama
G87458_1x_RF2_01_26308.mzXML	vegetable
G87458_1x_RF2_01_26308.mzXML	vegetable/herb
G87458_1x_RF2_01_26308.mzXML	plant
G78864_RC2_01_17558.mzXML	forbidden rice
G78864_RC2_01_17558.mzXML	rice
G78864_RC2_01_17558.mzXML	grain/grass
G78864_RC2_01_17558.mzXML	fruit
G78864_RC2_01_17558.mzXML	plant
G78913_RF3_01_17605.mzXML	forbidden rice
G78913_RF3_01_17605.mzXML	rice
G78913_RF3_01_17605.mzXML	grain/grass
G78913_RF3_01_17605.mzXML	fruit
G78913_RF3_01_17605.mzXML	plant
G79327_5x_BG2_01_19343.mzXML	horse, mixed meat
G79327_5x_BG2_01_19343.mzXML	horse meat
G79327_5x_BG2_01_19343.mzXML	horse
G79327_5x_BG2_01_19343.mzXML	meat
G79327_5x_BG2_01_19343.mzXML	animal
G75804_p19_d4_rerun_GB5_01_21711.mzXML	horse, yellow/brown meat
G75804_p19_d4_rerun_GB5_01_21711.mzXML	horse meat
G75804_p19_d4_rerun_GB5_01_21711.mzXML	horse
G75804_p19_d4_rerun_GB5_01_21711.mzXML	meat
G75804_p19_d4_rerun_GB5_01_21711.mzXML	animal
G79309_1x_RF5_01_18871.mzXML	young sweet corn
G79309_1x_RF5_01_18871.mzXML	sweet corn
G79309_1x_RF5_01_18871.mzXML	corn
G79309_1x_RF5_01_18871.mzXML	grain/grass
G79309_1x_RF5_01_18871.mzXML	fruit
G79309_1x_RF5_01_18871.mzXML	plant
G90285_1x_BA9_01_31155.mzXML	Matcha tea
G90285_1x_BA9_01_31155.mzXML	tea
G90285_1x_BA9_01_31155.mzXML	tea/infusion
G90285_1x_BA9_01_31155.mzXML	vegetable/herb
G90285_1x_BA9_01_31155.mzXML	plant
G90288_1x_BC2_01_31173.mzXML	Matcha tea
G90288_1x_BC2_01_31173.mzXML	tea
G90288_1x_BC2_01_31173.mzXML	tea/infusion
G90288_1x_BC2_01_31173.mzXML	vegetable/herb
G90288_1x_BC2_01_31173.mzXML	plant
G90289_1x_BA3_01_31149.mzXML	Matcha tea
G90289_1x_BA3_01_31149.mzXML	tea
G90289_1x_BA3_01_31149.mzXML	tea/infusion
G90289_1x_BA3_01_31149.mzXML	vegetable/herb
G90289_1x_BA3_01_31149.mzXML	plant
G90290_1x_BA2_01_31148.mzXML	Matcha tea
G90290_1x_BA2_01_31148.mzXML	tea
G90290_1x_BA2_01_31148.mzXML	tea/infusion
G90290_1x_BA2_01_31148.mzXML	vegetable/herb
G90290_1x_BA2_01_31148.mzXML	plant
G90292_1x_BH4_01_31224.mzXML	Matcha tea
G90292_1x_BH4_01_31224.mzXML	tea
G90292_1x_BH4_01_31224.mzXML	tea/infusion
G90292_1x_BH4_01_31224.mzXML	vegetable/herb
G90292_1x_BH4_01_31224.mzXML	plant
G96607_1x_BA7_01_31153.mzXML	Matcha tea
G96607_1x_BA7_01_31153.mzXML	tea
G96607_1x_BA7_01_31153.mzXML	tea/infusion
G96607_1x_BA7_01_31153.mzXML	vegetable/herb
G96607_1x_BA7_01_31153.mzXML	plant
G96608_1x_RB6_01_31061.mzXML	Matcha tea
G96608_1x_RB6_01_31061.mzXML	tea
G96608_1x_RB6_01_31061.mzXML	tea/infusion
G96608_1x_RB6_01_31061.mzXML	vegetable/herb
G96608_1x_RB6_01_31061.mzXML	plant
G96610_1x_BA4_01_31150.mzXML	Matcha tea
G96610_1x_BA4_01_31150.mzXML	tea
G96610_1x_BA4_01_31150.mzXML	tea/infusion
G96610_1x_BA4_01_31150.mzXML	vegetable/herb
G96610_1x_BA4_01_31150.mzXML	plant
G96614_1x_BF7_01_31211.mzXML	Matcha tea
G96614_1x_BF7_01_31211.mzXML	tea
G96614_1x_BF7_01_31211.mzXML	tea/infusion
G96614_1x_BF7_01_31211.mzXML	vegetable/herb
G96614_1x_BF7_01_31211.mzXML	plant
G96615_1x_BF8_01_31212.mzXML	Matcha tea
G96615_1x_BF8_01_31212.mzXML	tea
G96615_1x_BF8_01_31212.mzXML	tea/infusion
G96615_1x_BF8_01_31212.mzXML	vegetable/herb
G96615_1x_BF8_01_31212.mzXML	plant
G96616_1x_RG12_01_31130.mzXML	Matcha tea
G96616_1x_RG12_01_31130.mzXML	tea
G96616_1x_RG12_01_31130.mzXML	tea/infusion
G96616_1x_RG12_01_31130.mzXML	vegetable/herb
G96616_1x_RG12_01_31130.mzXML	plant
G96620_1x_BH2_01_31222.mzXML	Matcha tea
G96620_1x_BH2_01_31222.mzXML	tea
G96620_1x_BH2_01_31222.mzXML	tea/infusion
G96620_1x_BH2_01_31222.mzXML	vegetable/herb
G96620_1x_BH2_01_31222.mzXML	plant
G96621_1x_BH6_01_31226.mzXML	Matcha tea
G96621_1x_BH6_01_31226.mzXML	tea
G96621_1x_BH6_01_31226.mzXML	tea/infusion
G96621_1x_BH6_01_31226.mzXML	vegetable/herb
G96621_1x_BH6_01_31226.mzXML	plant
G96622_1x_BC6_01_31177.mzXML	Matcha tea
G96622_1x_BC6_01_31177.mzXML	tea
G96622_1x_BC6_01_31177.mzXML	tea/infusion
G96622_1x_BC6_01_31177.mzXML	vegetable/herb
G96622_1x_BC6_01_31177.mzXML	plant
G96623_1x_BD7_01_31190.mzXML	Matcha tea
G96623_1x_BD7_01_31190.mzXML	tea
G96623_1x_BD7_01_31190.mzXML	tea/infusion
G96623_1x_BD7_01_31190.mzXML	vegetable/herb
G96623_1x_BD7_01_31190.mzXML	plant
G96625_1x_BC3_01_31174.mzXML	Matcha tea
G96625_1x_BC3_01_31174.mzXML	tea
G96625_1x_BC3_01_31174.mzXML	tea/infusion
G96625_1x_BC3_01_31174.mzXML	vegetable/herb
G96625_1x_BC3_01_31174.mzXML	plant
G96626_1x_BH7_01_31227.mzXML	Matcha tea
G96626_1x_BH7_01_31227.mzXML	tea
G96626_1x_BH7_01_31227.mzXML	tea/infusion
G96626_1x_BH7_01_31227.mzXML	vegetable/herb
G96626_1x_BH7_01_31227.mzXML	plant
G96628_1x_BE8_01_31201.mzXML	Matcha tea
G96628_1x_BE8_01_31201.mzXML	tea
G96628_1x_BE8_01_31201.mzXML	tea/infusion
G96628_1x_BE8_01_31201.mzXML	vegetable/herb
G96628_1x_BE8_01_31201.mzXML	plant
G96630_1x_BB9_01_31168.mzXML	Matcha tea
G96630_1x_BB9_01_31168.mzXML	tea
G96630_1x_BB9_01_31168.mzXML	tea/infusion
